Date,Time,Distance 1,Angle 1,Distance 2,Angle 2,Distance 3,Angle 3,Distance 4,Angle 4,Distance 5,Angle 5,Distance 6,Angle 6,Distance 7,Angle 7,Distance 8,Angle 8
2/3/2000,6:45:25,704.0292968,12.8159999,698.2661743,13.3920001,693.2234497,13.9680004,688.180725,14.5439996,682.4176025,15.1199998,677.3748779,15.696,672.3321533,16.2719993,668.0097656,16.8479995
2/3/2000,6:45:32,668.0097656,16.8479995,663.6874389,17.4239997,657.9243164,18,653.6019897,18.5760002,650,19.1520004,645.6776733,19.7280006,645.6776733,20.3040008,642.0757446,20.8799991
2/3/2000,6:45:39,634.5115966,21.4559993,630.5494384,22.0319995,627.6679077,22.6079998,627.6679077,23.184,623.345581,23.7600002,617.5824584,24.3360004,612.5396728,24.9120006,610.0183105,25.4880008
2/3/2000,6:45:46,606.7765502,26.0639991,606.7765502,26.6399993,602.4542236,27.2159996,598.8522949,27.7919998,596.691101,28.368,594.1696777,28.9440002,590.9279785,29.5200004,590.9279785,30.0960006
2/3/2000,6:45:53,587.3260498,30.6720008,587.3260498,31.2479991,584.444458,31.8239994,583.0036621,32.4000015,577.9609375,32.9760017,575.7997436,33.5519981,574.3590087,34.1279983,573.6386108,34.7039985
2/3/2000,6:46:00,573.2784423,35.2799987,569.3162841,35.8559989,569.3162841,36.4319992,566.4346923,37.0079994,566.4346923,37.5839996,563.5531005,38.1599998,562.8327636,38.736,562.8327636,39.3120002
2/3/2000,6:46:06,561.7521362,39.8880004,560.6715698,40.4640007,558.5103759,41.0400009,557.790039,41.6160011,557.790039,42.1920013,557.06958,42.7680015,555.6287841,43.3440017,554.9084472,43.9199981
2/3/2000,6:46:13,552.7472534,44.4959983,552.7472534,45.0719985,552.7472534,45.6479988,552.0268554,46.223999,550.5860595,46.7999992,550.2258911,47.3759994,550.2258911,47.9519996,549.8657226,48.5279998
2/3/2000,6:46:20,549.8657226,49.104,549.8657226,49.6800003,548.4249267,50.2560005,548.4249267,50.8320007,548.4249267,51.4080009,548.4249267,51.9840011,548.4249267,52.5600013,548.7851562,53.1360015
2/3/2000,6:46:26,549.8657226,53.7120018,550.5860595,54.2879981,548.7851562,54.8639984,550.5860595,55.4399986,550.5860595,56.0159988,550.5860595,56.591999,551.3065185,57.1679992,552.7472534,57.7439994
